IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-06-24 11:56:28	Entrada
35	48600	2015-06-24 11:56:33	Baño pequeño
35	48600	2015-06-24 11:56:34	Entrada
35	48600	2015-06-24 11:56:37	Salon
35	48600	2015-06-24 11:56:38	Cocina
35	48600	2015-06-24 11:56:44	Salon
35	48600	2015-06-24 11:56:45	Baño pequeño
35	48600	2015-06-24 11:56:47	Habitación 2
35	48600	2015-06-24 11:57:05	Cocina
35	48600	2015-06-30 10:19:11	Baño pequeño
35	48600	2015-06-30 10:20:26	Salon
35	48600	2015-06-30 10:24:53	Cocina
35	48600	2015-06-30 10:25:43	Puerta
35	48600	2015-06-30 10:25:43	Puerta
35	48600	2015-06-30 10:25:44	Puerta
35	48600	2015-06-30 10:25:44	Puerta
35	48600	2015-06-30 10:25:44	Puerta
35	48600	2015-06-30 10:26:09	Entrada
35	48600	2015-06-30 10:26:16	Baño pequeño
35	48600	2015-06-30 10:26:18	Habitación 2
35	48600	2015-06-30 10:26:38	Baño pequeño
35	48600	2015-06-30 10:27:07	Baño 1
35	48600	2015-06-30 10:27:26	Habitación 1
35	48600	2015-06-30 10:34:14	Entrada
35	48600	2015-06-30 10:34:15	Salon
35	48600	2015-06-30 10:34:17	Entrada
35	48600	2015-06-30 10:34:19	Salon
35	48600	2015-06-30 10:43:18	Entrada
35	48600	2015-06-30 10:43:20	Salon
35	48600	2015-06-30 10:43:55	Entrada
35	48600	2015-06-30 10:47:08	Puerta
35	48600	2015-06-30 10:47:08	Puerta
35	48600	2015-06-30 10:47:09	Puerta
35	48600	2015-06-30 10:47:09	Puerta
35	48600	2015-06-30 10:47:09	Puerta
35	48600	2015-06-30 10:54:07	Entrada
35	48600	2015-06-30 10:54:08	Salon
35	48600	2015-06-30 10:54:10	Entrada
35	48600	2015-06-30 10:54:50	Salon
35	48600	2015-06-30 10:55:16	Puerta
35	48600	2015-06-30 10:55:16	Puerta
35	48600	2015-06-30 10:55:16	Puerta
35	48600	2015-06-30 10:55:16	Puerta
35	48600	2015-06-30 10:55:17	Puerta
35	48600	2015-06-30 11:17:12	Entrada
35	48600	2015-06-30 11:18:26	Baño pequeño
35	48600	2015-06-30 11:20:10	Puerta
35	48600	2015-06-30 11:20:10	Puerta
35	48600	2015-06-30 11:20:10	Puerta
35	48600	2015-06-30 11:20:10	Puerta
35	48600	2015-06-30 11:20:10	Puerta
35	48600	2015-06-30 12:18:44	Puerta
35	48600	2015-06-30 12:18:44	Puerta
35	48600	2015-06-30 12:18:44	Puerta
35	48600	2015-06-30 12:18:45	Entrada
35	48600	2015-06-30 12:26:49	Entrada
35	48600	2015-06-30 12:27:00	Puerta
35	48600	2015-06-30 12:27:00	Puerta
35	48600	2015-06-30 12:27:01	Puerta
35	48600	2015-06-30 12:27:01	Puerta
35	48600	2015-06-30 12:27:01	Puerta
35	48600	2015-06-30 12:38:41	Entrada
35	48600	2015-06-30 12:46:52	Entrada
35	48600	2015-06-30 12:56:36	Habitación 1
35	48600	2015-06-30 13:02:52	Entrada
35	48600	2015-06-30 13:02:55	Salon
35	48600	2015-06-30 13:02:56	Entrada
35	48600	2015-06-30 13:14:08	Cocina
35	48600	2015-06-30 13:20:13	Cocina
35	48600	2015-06-30 13:24:38	Entrada
35	48600	2015-06-30 13:24:41	Salon
35	48600	2015-06-30 13:25:05	Entrada
35	48600	2015-06-30 13:26:03	Salon
35	48600	2015-06-30 13:37:32	Entrada
35	48600	2015-06-30 13:42:34	Entrada
35	48600	2015-06-30 13:42:39	Cocina
35	48600	2015-06-30 13:44:31	Entrada
35	48600	2015-06-30 13:44:33	Salon
35	48600	2015-06-30 14:15:16	Entrada
35	48600	2015-06-30 14:20:17	Salon
35	48600	2015-06-30 15:57:00	Entrada
35	48600	2015-06-30 16:09:52	Entrada
35	48600	2015-06-30 16:14:43	Salon
35	48600	2015-06-30 16:20:13	Entrada
35	48600	2015-06-30 16:26:05	Entrada
35	48600	2015-06-30 16:33:56	Entrada
35	48600	2015-06-30 16:44:13	Salon
35	48600	2015-06-30 17:31:40	Entrada
35	48600	2015-06-30 17:38:41	Entrada
35	48600	2015-06-30 17:38:44	Salon
35	48600	2015-06-30 17:38:49	Entrada
35	48600	2015-06-30 17:38:52	Salon
35	48600	2015-06-30 17:54:35	Entrada
35	48600	2015-06-30 17:59:54	Entrada
35	48600	2015-06-30 18:05:05	Entrada
35	48600	2015-06-30 18:24:00	Entrada
35	48600	2015-06-30 18:35:06	Entrada
35	48600	2015-06-30 18:37:19	Salon
35	48600	2015-06-30 18:38:23	Entrada
35	48600	2015-06-30 18:42:03	Baño pequeño
35	48600	2015-06-30 18:47:40	Entrada
35	48600	2015-06-30 18:47:43	Salon
35	48600	2015-06-30 18:47:50	Entrada
35	48600	2015-06-30 18:57:21	Entrada
35	48600	2015-06-30 19:11:05	Entrada
35	48600	2015-06-30 19:24:23	Entrada
35	48600	2015-06-30 19:34:09	Entrada
35	48600	2015-06-30 19:40:42	Entrada
35	48600	2015-06-30 19:46:17	Salon
35	48600	2015-06-30 19:59:48	Entrada
35	48600	2015-06-30 20:11:20	Entrada
35	48600	2015-06-30 20:17:13	Entrada
35	48600	2015-06-30 20:17:45	Salon
35	48600	2015-06-30 20:26:11	Entrada
35	48600	2015-06-30 20:34:25	Entrada
35	48600	2015-06-30 20:36:15	Salon
35	48600	2015-06-30 20:39:15	Baño pequeño
35	48600	2015-06-30 20:42:15	Entrada
35	48600	2015-06-30 20:42:19	Salon
35	48600	2015-06-30 20:44:28	Entrada
35	48600	2015-06-30 20:45:48	Baño pequeño
35	48600	2015-06-30 20:47:04	Salon
35	48600	2015-06-30 20:50:48	Entrada
35	48600	2015-06-30 20:53:26	Salon
35	48600	2015-06-30 21:04:30	Entrada
35	48600	2015-06-30 21:04:32	Salon
35	48600	2015-06-30 21:04:34	Entrada
35	48600	2015-06-30 21:05:04	Salon
35	48600	2015-06-30 21:06:04	Habitación 1
35	48600	2015-06-30 21:15:37	Entrada
35	48600	2015-06-30 21:15:44	Puerta
35	48600	2015-06-30 21:15:44	Puerta
35	48600	2015-06-30 21:15:44	Puerta
35	48600	2015-06-30 21:15:44	Puerta
35	48600	2015-06-30 21:15:44	Puerta
35	48600	2015-06-30 21:19:01	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:19:02	Puerta
35	48600	2015-06-30 21:48:15	Cocina
35	48600	2015-06-30 21:53:27	Baño pequeño
35	48600	2015-06-30 21:57:44	Entrada
35	48600	2015-06-30 21:57:48	Salon
35	48600	2015-06-30 22:16:55	Entrada
35	48600	2015-06-30 22:18:20	Salon
35	48600	2015-06-30 22:24:47	Salon
35	48600	2015-06-30 22:40:06	Entrada
35	48600	2015-06-30 23:04:57	Entrada
35	48600	2015-06-30 23:19:44	Entrada
35	48600	2015-06-30 23:26:48	Entrada
35	48600	2015-06-30 23:41:03	Entrada
35	48600	2015-06-30 23:54:51	Entrada
35	48600	2015-07-01 00:00:13	Entrada
35	48600	2015-07-01 00:07:09	Entrada
35	48600	2015-07-01 00:13:23	Salon
35	48600	2015-07-01 00:13:28	Baño pequeño
35	48600	2015-07-01 00:15:47	Entrada
35	48600	2015-07-01 00:15:49	Salon
35	48600	2015-07-01 00:29:10	Entrada
35	48600	2015-07-01 00:46:06	Entrada
35	48600	2015-07-01 00:51:48	Salon
35	48600	2015-07-01 00:51:50	Entrada
35	48600	2015-07-01 00:52:06	Baño pequeño
35	48600	2015-07-01 00:52:16	Cocina
